strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
average,7,2025-12-08,2026-01-07,31,31,HINDALCO,53.54,0.09379571314699157,110932.52969420016,10404.995733867323,9833.400000000001,819.45,938.45,12,12,0,0.14521935444505463
average,7,2025-12-08,2026-01-07,31,31,SBIN,51.545,0.09030071038777887,110932.52969420016,10017.286236499649,9564.0,956.4,1007.15,11,10,-1,0.05306357172731069
average,8,2026-01-08,2026-02-06,31,30,EICHERMOT,67.395,0.12004061022202037,115338.94145116807,13845.356914160095,7551.0,7551.0,7177.5,1,1,0,-0.0494636471990465
average,8,2026-01-08,2026-02-06,31,30,TITAN,62.105000000000004,0.11061832625326175,115338.94145116807,12758.600655151164,12747.0,4249.0,4141.0,3,3,0,-0.025417745351847487
average,8,2026-01-08,2026-02-06,31,30,APOLLOHOSP,61.08,0.10879264741243422,115338.94145116807,12548.028790220322,7364.5,7364.5,7152.5,1,1,0,-0.028786747233349175
average,8,2026-01-08,2026-02-06,31,30,JSWSTEEL,56.575,0.10076856626323619,115338.94145116807,11622.539764353549,11559.0,1155.9,1236.2,9,10,1,0.06946967730772546
average,8,2026-01-08,2026-02-06,31,30,GRASIM,56.075,0.09987799121893008,115338.94145116807,11519.821781460454,11168.0,2792.0,2836.9,4,4,0,0.016081661891117482
average,8,2026-01-08,2026-02-06,31,30,TATASTEEL,55.44,0.09874696091266132,115338.94145116807,11389.369943186224,11347.56,180.12,197.06,66,63,-3,0.09404841216966475
average,8,2026-01-08,2026-02-06,31,30,SBIN,54.525,0.09711720858158113,115338.94145116807,11201.396034491863,10978.0,998.0,1066.4,10,11,1,0.06853707414829668
average,8,2026-01-08,2026-02-06,31,30,SHRIRAMFIN,53.34,0.09500654572657566,115338.94145116807,10957.954415035232,10921.9,992.9,1002.5,13,11,-2,0.009668647396515295
average,8,2026-01-08,2026-02-06,31,30,ASIANPAINT,52.96,0.09432970869290302,115338.94145116807,10879.888748036481,8359.5,2786.5,2401.1,3,3,0,-0.13830970751839233
average,8,2026-01-08,2026-02-06,31,30,HINDALCO,41.94,0.07470143471639638,115338.94145116807,8615.984405072697,8135.55,903.95,942.55,12,9,-3,0.04270147685159564
average,9,2026-02-09,2026-03-11,31,31,EICHERMOT,65.12,0.11316262783362731,117522.2123852233,13299.122382333531,7195.5,7195.5,7253.5,1,1,0,0.008060593426447049
average,9,2026-02-09,2026-03-11,31,31,TITAN,63.71,0.11071239280221737,117522.2123852233,13011.165340578458,12773.400000000001,4257.8,4140.3,3,3,0,-0.027596411292216683
average,9,2026-02-09,2026-03-11,31,31,APOLLOHOSP,63.525,0.11039090806405365,117522.2123852233,12973.383742901373,7211.0,7211.0,7684.0,1,1,0,0.06559423103591744
average,9,2026-02-09,2026-03-11,31,31,GRASIM,62.36,0.10836642309129296,117522.2123852233,12735.461789961899,11705.2,2926.3,2735.6,4,4,0,-0.06516761781088753
average,9,2026-02-09,2026-03-11,31,31,JSWSTEEL,58.17,0.1010852282107202,117522.2123852233,11879.759658789026,11205.0,1245.0,1178.8,10,9,-1,-0.0531726907630522
average,9,2026-02-09,2026-03-11,31,31,ASIANPAINT,56.295,0.09782693694554744,117522.2123852233,11496.838060710474,9669.6,2417.4,2232.0,3,4,1,-0.07669396872673129
average,9,2026-02-09,2026-03-11,31,31,SHRIRAMFIN,56.28,0.09780087061542606,117522.2123852233,11493.774687925847,10627.0,1062.7,1031.7,11,10,-1,-0.029170979580314338
average,9,2026-02-09,2026-03-11,31,31,SBIN,54.504999999999995,0.09471635488439581,117522.2123852233,11131.275575078147,10314.0,1146.0,1091.1,11,9,-2,-0.047905759162303774
average,9,2026-02-09,2026-03-11,31,31,TATASTEEL,54.16,0.09411682929160402,117522.2123852233,11060.818001031694,10908.0,202.0,194.74,63,54,-9,-0.03594059405940586
average,9,2026-02-09,2026-03-11,31,31,HINDALCO,41.33,0.07182142826111511,117522.2123852233,8440.613145912848,7714.0,964.25,959.1,9,8,-1,-0.005340938553279773
average,10,2026-03-12,2026-04-10,31,30,EICHERMOT,61.44,0.10943093775046753,115554.43544728619,12645.230232222393,6975.5,6975.5,7424.0,1,1,0,0.06429646620313956
average,10,2026-03-12,2026-04-10,31,30,TITAN,61.335,0.10924392198771038,115554.43544728619,12623.619731337247,12388.800000000001,4129.6,4505.0,3,3,0,0.09090468810538543
average,10,2026-03-12,2026-04-10,31,30,GRASIM,59.644999999999996,0.10623385875857154,115554.43544728619,12275.793574233474,10692.4,2673.1,2742.6,4,4,0,0.02599977554150601
average,10,2026-03-12,2026-04-10,31,30,APOLLOHOSP,59.114999999999995,0.10528987443227356,115554.43544728619,12166.711998337023,7574.5,7574.5,7511.5,1,1,0,-0.00831738068519372
average,10,2026-03-12,2026-04-10,31,30,ASIANPAINT,56.54,0.10070353548846735,115554.43544728619,11636.740190915594,11106.0,2221.2,2360.7,4,5,1,0.06280388978930307
average,10,2026-03-12,2026-04-10,31,30,SHRIRAMFIN,55.480000000000004,0.09881556683587141,115554.43544728619,11418.577039122696,11348.7,1031.7,1027.55,10,11,1,-0.004022487157119392
average,10,2026-03-12,2026-04-10,31,30,TATASTEEL,54.735,0.09748864547154688,115554.43544728619,11265.245389985233,11221.26,193.47,206.61,54,58,4,0.06791750659016915
average,10,2026-03-12,2026-04-10,31,30,JSWSTEEL,54.730000000000004,0.09747973995903464,115554.43544728619,11264.216318514513,10553.4,1172.6,1214.8,9,9,0,0.035988401842060425
average,10,2026-03-12,2026-04-10,31,30,SBIN,49.25,0.08771929824561403,115554.43544728619,10136.353986604052,9766.800000000001,1085.2,1066.7,9,9,0,-0.017047548838923676
average,10,2026-03-12,2026-04-10,31,30,HINDALCO,49.18,0.0875946210704426,115554.43544728619,10121.946986013952,9697.5,969.75,992.1,8,10,2,0.023047177107502037
average,11,2026-04-13,2026-05-13,31,31,EICHERMOT,65.51,0.11049173968409247,117544.64065068033,12987.711836035165,7050.0,7050.0,6971.5,1,1,0,-0.011134751773049678
average,11,2026-04-13,2026-05-13,31,31,APOLLOHOSP,63.35,0.10684859882441242,117544.64065068033,12559.480152844262,7516.5,7516.5,8004.5,1,1,0,0.06492383423135761
average,11,2026-04-13,2026-05-13,31,31,JSWSTEEL,62.61,0.10560048575211463,117544.64065068033,12412.771150269602,12042.0,1204.2,1274.9,9,10,1,0.05871117754525823
average,11,2026-04-13,2026-05-13,31,31,SHRIRAMFIN,62.3,0.10507762757317907,117544.64065068033,12351.311973515352,12049.2,1004.1,920.55,11,12,1,-0.0832088437406634
average,11,2026-04-13,2026-05-13,31,31,ASIANPAINT,60.065,0.10130798876698235,117544.64065068033,11908.2111346581,11762.0,2352.4,2617.6,5,5,0,0.11273592926373066
average,11,2026-04-13,2026-05-13,31,31,GRASIM,59.879999999999995,0.1009959604989079,117544.64065068033,11871.533884014434,10852.0,2713.0,2945.6,4,4,0,0.08573534832288976
average,11,2026-04-13,2026-05-13,31,31,TITAN,58.03,0.09787567781816342,117544.64065068033,11504.761377577783,8878.6,4439.3,4090.7,3,2,-1,-0.07852589372198326
average,11,2026-04-13,2026-05-13,31,31,TATASTEEL,57.66,0.09725162128201452,117544.64065068033,11431.406876290452,11351.449999999999,206.39,219.62,58,55,-3,0.06410194292359139
average,11,2026-04-13,2026-05-13,31,31,SBIN,52.035,0.0877642752932644,117544.64065068033,10316.220201314147,9571.949999999999,1063.55,970.1,9,9,0,-0.08786610878661083
average,11,2026-04-13,2026-05-13,31,31,HINDALCO,51.455,0.08678602450686884,117544.64065068033,10201.232064161035,9782.5,978.25,1073.1,10,10,0,0.09695885509838997
average,12,2026-05-14,2026-06-12,31,30,JSWSTEEL,63.275,0.10721396196043546,119916.81814981675,12856.75717953091,11672.1,1296.9,1297.6,10,9,-1,0.0005397486313516442
average,12,2026-05-14,2026-06-12,31,30,APOLLOHOSP,62.075,0.10518066675138732,119916.81814981675,12612.93088770259,8119.0,8119.0,8498.0,1,1,0,0.04668062569281939
average,12,2026-05-14,2026-06-12,31,30,EICHERMOT,62.075,0.10518066675138732,119916.81814981675,12612.93088770259,7034.0,7034.0,7312.0,1,1,0,0.03952232015922652
average,12,2026-05-14,2026-06-12,31,30,GRASIM,60.625,0.10272376837378744,119916.81814981675,12318.307451743365,11754.8,2938.7,3105.5,4,4,0,0.05675979174464896
average,12,2026-05-14,2026-06-12,31,30,TATASTEEL,60.1,0.10183420171982888,119916.81814981675,12211.633449068477,12162.15,221.13,197.86,55,55,0,-0.10523221634332736
average,12,2026-05-14,2026-06-12,31,30,SHRIRAMFIN,60.075,0.1017918414029737,119916.81814981675,12206.553734655387,12156.300000000001,935.1,954.95,12,13,1,0.021227676184365274
average,12,2026-05-14,2026-06-12,31,30,ASIANPAINT,58.175,0.09857245732198078,119916.81814981675,11820.495439260541,10488.8,2622.2,2747.4,5,4,-1,0.04774616734040138
average,12,2026-05-14,2026-06-12,31,30,TITAN,57.9,0.0981064938365739,119916.81814981675,11764.61858071655,8270.4,4135.2,4184.0,2,2,0,0.011801122073902048
average,12,2026-05-14,2026-06-12,31,30,SBIN,54.85,0.09293853518024316,119916.81814981675,11144.893422319565,10778.9,979.9,1017.15,9,11,2,0.03801408306970089
average,12,2026-05-14,2026-06-12,31,30,HINDALCO,51.025,0.08645740670140213,119916.81814981675,10367.697117116788,9929.699999999999,1103.3,1021.6,10,9,-1,-0.07405057554608896
average,13,2026-06-15,2026-06-29,31,15,EICHERMOT,65.825,0.1098456403838131,121794.73832876563,13378.621027102206,7624.5,7624.5,7426.0,1,1,0,-0.026034494065184655
average,13,2026-06-15,2026-06-29,31,15,JSWSTEEL,63.15,0.10538172715894868,121794.73832876563,12834.939883957528,11668.5,1296.5,1232.4,9,9,0,-0.04944080215966051
average,13,2026-06-15,2026-06-29,31,15,SHRIRAMFIN,62.95,0.1050479766374635,121794.73832876563,12794.290826526152,12007.8,1000.65,1032.65,13,12,-1,0.0319792135112178
average,13,2026-06-15,2026-06-29,31,15,APOLLOHOSP,62.05,0.10354609929078014,121794.73832876563,12611.37006808495,8468.5,8468.5,8655.0,1,1,0,0.022022790340674225
average,13,2026-06-15,2026-06-29,31,15,ASIANPAINT,60.95,0.10171047142261161,121794.73832876563,12387.800252212375,10957.2,2739.3,2656.9,4,4,0,-0.03008067754535837
average,13,2026-06-15,2026-06-29,31,15,TITAN,60.475,0.10091781393408428,121794.73832876563,12291.258740812853,8567.0,4283.5,4277.2,2,2,0,-0.0014707598926112508
average,13,2026-06-15,2026-06-29,31,15,SBIN,59.475,0.09924906132665832,121794.73832876563,12088.013453655964,11229.35,1020.85,1036.1,11,11,0,0.014938531615810158
average,13,2026-06-15,2026-06-29,31,15,GRASIM,57.825,0.09649561952440551,121794.73832876563,11752.658729847097,9493.5,3164.5,3080.2,4,3,-1,-0.026639279507031155
average,13,2026-06-15,2026-06-29,31,15,TATASTEEL,57.475,0.09591155611180642,121794.73832876563,11681.522879342185,11639.52,197.28,189.57,55,59,4,-0.039081508515815155
average,13,2026-06-15,2026-06-29,31,15,HINDALCO,49.075,0.08189403420942845,121794.73832876563,9974.262467224318,9125.1,1013.9,963.8,9,9,0,-0.049413157116086404
