symbol,pulled_on,pulled_at,date,submissionDate,broadcastDate,recordId,xbrl,desc,pr_and_prgrp,public_val,source
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_BAJFINANCE_shareholding_20250331,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.73,8.84,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_BAJFINANCE_shareholding_20250630,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.73,8.92,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_BAJFINANCE_shareholding_20250930,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.67,8.78,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_BAJFINANCE_shareholding_20251231,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.7,8.77,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_BAJFINANCE_shareholding_20260331,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.71,8.73,screener
BEL,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_BEL_shareholding_20230630,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,6.68,screener
BEL,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_BEL_shareholding_20230930,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,7.49,screener
BEL,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_BEL_shareholding_20231231,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,7.72,screener
BEL,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_BEL_shareholding_20240331,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,8.66,screener
BEL,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_BEL_shareholding_20240630,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,10.82,screener
BEL,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_BEL_shareholding_20240930,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,11.37,screener
BEL,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_BEL_shareholding_20241231,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,10.58,screener
BEL,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_BEL_shareholding_20250331,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,10.43,screener
BEL,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_BEL_shareholding_20250630,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,9.7,screener
BEL,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_BEL_shareholding_20250930,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,9.84,screener
BEL,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_BEL_shareholding_20251231,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,9.87,screener
BEL,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_BEL_shareholding_20260331,https://www.screener.in/company/BEL/consolidated/,screener shareholding table,51.14,9.37,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_BHARTIARTL_shareholding_20230930,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,54.75,3.53,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_BHARTIARTL_shareholding_20231231,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,54.57,3.07,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_BHARTIARTL_shareholding_20240331,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,53.48,2.8,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_BHARTIARTL_shareholding_20240630,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,53.17,2.89,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_BHARTIARTL_shareholding_20240930,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,53.14,2.89,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_BHARTIARTL_shareholding_20241231,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,53.12,2.91,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_BHARTIARTL_shareholding_20250331,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,52.42,2.75,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_BHARTIARTL_shareholding_20250630,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,51.26,2.74,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_BHARTIARTL_shareholding_20250930,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,50.27,2.72,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_BHARTIARTL_shareholding_20251231,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,48.87,2.65,screener
BHARTIARTL,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_BHARTIARTL_shareholding_20260331,https://www.screener.in/company/BHARTIARTL/consolidated/,screener shareholding table,48.87,2.63,screener
