TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,2241,INE794W01014,MODTHREAD,EQ,,,,,MODERN THREADS INDIA LTD,47.4,47.4,45.4,45.62,45.6,47.52,,45.46,,,1628,75947.84,21,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,760280,INE537F01012,MODINATUR,BE,,,,,MODI NATURALS LIMITED,413.0,421.7,408.0,410.85,411.0,410.75,,410.85,,,5422,2232435.85,43,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,2229,INE832A01018,MODIRUBBER,EQ,,,,,MODI RUBBER LTD,129.0,129.9,127.4,127.73,127.54,130.23,,127.86,,,333,42599.93,48,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,759752,INE0L0L01012,MODIS,EQ,,,,,MODIS NAVNIRMAN LTD,375.0,404.45,372.95,393.15,383.05,367.05,,393.1,,,711102,277725781.7,16357,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3325,INE737D01021,MODISONLTD,BE,,,,,MODISON LIMITED,300.2,304.5,290.0,293.45,297.9,296.1,,294.25,,,45060,13424727.1,455,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,1426,INE450S01011,MHHL,SM,,,,,MOHINI HEALTH&HYGIENE LTD,37.0,37.0,35.2,35.2,35.2,36.9,,35.2,,,6000,216675.0,3,F1,1500,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,29423,INE954E01012,MOHITIND,EQ,,,,,MOHIT INDUSTRIES LTD,22.59,23.3,22.32,22.78,23.0,22.58,,22.74,,,572,12958.74,20,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,20830,INE490G01020,MOIL,EQ,,,,,MOIL LIMITED,271.3,272.9,270.05,271.15,271.0,271.3,,271.15,,,155053,42088655.75,4226,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3586,INE514Y01020,MOKSH,EQ,,,,,MOKSH ORNAMENTS LIMITED,11.51,11.7,11.33,11.4,11.36,11.51,,11.4,,,15986,182061.52,87,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,6713,INE893J01029,MOLDTKPAC,EQ,,,,,MOLD-TEK PACKAGING LTD,700.5,706.1,695.55,698.55,697.0,701.9,,698.55,,,19596,13711366.05,1162,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,17625,INE835B01035,MOLDTECH,EQ,,,,,MOLD-TEK TECHNOLOGIES LTD,125.11,132.0,124.92,129.98,130.0,125.29,,129.97,,,40225,5167827.08,577,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,7679,INE903D01011,MONARCH,EQ,,,,,MONARCH NETWORTH CAP LTD,357.85,365.3,356.2,359.95,356.85,357.85,,359.95,,,91478,32947910.4,2048,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,759381,INE296Q01012,MONEYBOXX,EQ,,,,,MONEYBOXX FINANCE LIMITED,59.8,59.8,55.0,56.33,56.0,58.2,,56.34,,,55520,3129371.47,587,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,756958,INE1DV401010,MONOLITH,SM,,,,,MONOLITHISCH INDIA LTD,750.0,770.5,750.0,760.4,760.0,755.9,,760.4,,,12250,9351500.0,43,F1,250,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,5938,INE950M01013,MONTECARLO,EQ,,,,,MONTE CARLO FASHIONS LTD.,538.95,540.0,533.0,538.25,539.7,534.95,,538.25,,,14711,7891301.4,1437,F1,1,,,,,
