trade_date,index_name,open,high,low,close,points_change,change_pct,volume,turnover_rs_cr,pe,pb,div_yield,source
2025-09-09,NIFTY 50,24864.1,24891.8,24814.0,24868.6,95.45,0.39,226919775,22356.88,21.85,3.32,1.36,nse_index_close_archive
2025-09-10,NIFTY 50,24991.0,25035.7,24915.05,24973.1,104.5,0.42,244146466,22458.98,21.94,3.33,1.36,nse_index_close_archive
2025-09-11,NIFTY 50,24945.5,25037.3,24940.15,25005.5,32.4,0.13,224570983,21316.72,21.97,3.34,1.35,nse_index_close_archive
2025-09-12,NIFTY 50,25074.45,25139.45,25038.05,25114.0,108.5,0.43,225739766,21335.67,22.06,3.35,1.35,nse_index_close_archive
2025-09-15,NIFTY 50,25118.9,25138.45,25048.75,25069.2,-44.8,-0.18,185375759,17115.6,22.02,3.34,1.35,nse_index_close_archive
2025-09-16,NIFTY 50,25073.6,25261.4,25070.45,25239.1,169.9,0.68,240122320,22642.86,22.17,3.37,1.34,nse_index_close_archive
2025-09-17,NIFTY 50,25276.6,25346.5,25275.35,25330.25,91.15,0.36,268936695,23484.12,22.25,3.38,1.34,nse_index_close_archive
2025-09-18,NIFTY 50,25441.05,25448.95,25329.75,25423.6,93.35,0.37,272193683,24198.11,22.33,3.39,1.33,nse_index_close_archive
2025-09-19,NIFTY 50,25410.2,25431.4,25286.3,25327.05,-96.55,-0.38,380362832,38805.58,22.25,3.38,1.34,nse_index_close_archive
2025-09-22,NIFTY 50,25238.1,25331.7,25151.05,25202.35,-124.7,-0.49,254509892,25277.82,22.14,3.36,1.34,nse_index_close_archive
2025-09-23,NIFTY 50,25209.0,25261.9,25084.65,25169.5,-32.85,-0.13,299204338,31435.17,22.11,3.36,1.34,nse_index_close_archive
2025-09-24,NIFTY 50,25108.75,25149.85,25027.45,25056.9,-112.6,-0.45,244382281,22310.05,22.01,3.34,1.35,nse_index_close_archive
2025-09-25,NIFTY 50,25034.5,25092.7,24878.3,24890.85,-166.05,-0.66,342534768,32715.91,21.86,3.32,1.36,nse_index_close_archive
2025-09-26,NIFTY 50,24818.55,24868.6,24629.45,24654.7,-236.15,-0.95,291537949,29987.93,21.66,3.29,1.37,nse_index_close_archive
2025-09-29,NIFTY 50,24728.55,24791.3,24606.2,24634.9,-19.8,-0.08,394388242,40004.93,21.64,3.29,1.37,nse_index_close_archive
2025-09-30,NIFTY 50,24691.95,24731.8,24587.7,24611.1,-23.8,-0.1,304924720,29285.11,21.76,3.37,1.35,nse_index_close_archive
